0.000000000000000000e+00 0.000000000000000000e+00 3.104411186090524910e-01
1.724137931034482873e-01 5.374261005275602354e-01 3.246433767722613495e-01
3.448275862068965747e-01 1.049722753900661498e+00 3.563249860079056863e-01
5.172413793103448620e-01 1.512935537984412715e+00 4.139243156610102892e-01
6.896551724137931494e-01 1.905405137819091266e+00 5.167989147615464907e-01
8.620689655172414367e-01 2.208780111115057565e+00 7.112246026501628515e-01
1.034482758620689724e+00 2.408874981298057438e+00 1.101357910859820599e+00
1.206896551724137900e+00 2.496333534627809492e+00 1.738943422090761803e+00
1.379310344827586299e+00 2.467066306353815186e+00 2.268765166545464229e+00
1.551724137931034475e+00 2.322441799541978380e+00 2.543809544491368424e+00
1.724137931034482873e+00 2.069222495392226246e+00 2.683844207282452210e+00
1.896551724137931272e+00 1.719248647133557961e+00 2.760549173442766957e+00
2.068965517241379448e+00 1.288884642942554004e+00 2.803660053422482257e+00
2.241379310344827847e+00 7.982538253399494854e-01 2.825942920806005176e+00
2.413793103448275801e+00 2.702975460598547874e-01 2.832857597005424388e+00
2.586206896551724199e+00 -2.702975460598542323e-01 2.825942920806004732e+00
2.758620689655172598e+00 -7.982538253399498185e-01 2.803660053422482701e+00
2.931034482758620996e+00 -1.288884642942554670e+00 2.760549173442767401e+00
3.103448275862068950e+00 -1.719248647133558627e+00 2.683844207282452210e+00
3.275862068965516904e+00 -2.069222495392226246e+00 2.543809544491367536e+00
3.448275862068965747e+00 -2.322441799541978380e+00 2.268765166545465117e+00
3.620689655172413701e+00 -2.467066306353815186e+00 1.738943422090761359e+00
3.793103448275862544e+00 -2.496333534627809492e+00 1.101357910859820155e+00
3.965517241379310498e+00 -2.408874981298057438e+00 7.112246026501620744e-01
4.137931034482758896e+00 -2.208780111115057121e+00 5.167989147615463796e-01
4.310344827586207295e+00 -1.905405137819090600e+00 4.139243156610107333e-01
4.482758620689655693e+00 -1.512935537984412271e+00 3.563249860079051312e-01
4.655172413793103203e+00 -1.049722753900662386e+00 3.246433767722614605e-01
4.827586206896551602e+00 -5.374261005275609016e-01 3.104411186090527131e-01
5.000000000000000000e+00 -6.123233995736766282e-16 3.104411186090527131e-01
